Zone,NE Catchment 2,SW Catchment 4,SW Catchment 2,NE Catchment 3,SW Catchment 5,SW Catchment 7,Upper Lake,Lower Lake,Lower Middle Lake,Upper Middle Lake,NW Catchment,Outlet Catchment,SW Catchment 6,NE Catchment 4,SW Catchment 3,SW Catchment 1,NE Catchment 1
296000-296100,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
296100-296300,1,1,0,1,1,0,0,0,0,0,1,0,1,0,3,1,0
296300-296600,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
296600-296800,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,0
296800-297100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
297100-297500,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,2,0
297500-297900,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
297900-298000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
298000-298200,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
298200-290300,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
290300-298800,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
298800-299100,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0
299100-299300,3,1,0,0,4,0,0,0,0,2,0,1,2,0,8,0,0
299300-299500,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
299500-299700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
299700-299900,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
299900-300100,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
300100-300300,0,0,1,0,2,0,0,0,0,0,1,0,1,0,3,0,0
300300-300900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
300900-301500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
301500-301700,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1
301700-301800,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
301800-300100,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1
300100-302300,0,0,0,1,1,0,0,0,0,0,1,1,0,0,2,0,0
302300-302400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
302400-302500,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
302500-303100,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1
303100-303400,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
303400-303600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
303600-303900,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
303900-304200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
304200-304500,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1
304500-304700,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0
304700-305400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
305400-305500,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
305500-305600,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
305600-306000,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
306000-306000,0,0,0,0,1,0,0,0,0,0,0,2,0,0,2,0,0
306000-306100,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
306100-306500,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
306500-307100,0,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0
307100-300200,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0
300200-307300,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
307300-307500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307500-307800,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
307800-308100,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0
308100-308400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
308400-308700,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
308700-308900,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
308900-309200,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
309200-309600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
309600-309900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
309900-310200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
310200-310300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
310300-310500,0,0,1,0,0,0,0,0,0,0,0,2,2,0,1,0,0
310500-310700,0,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,1
310700-310100,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
310100-310800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310800-311000,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
311000-311300,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
311300-311800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
311800-312000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
312000-310200,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
310200-312400,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
312400-313000,3,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
313000-313100,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
313100-313300,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
313300-313900,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
313900-314300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
314300-314400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
314400-314800,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
314800-315100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
315100-315500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
315500-315900,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,0
315900-316000,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0
316000-316100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
316100-316400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
316400-316500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
316500-316700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
316700-317000,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0
317000-317700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
317700-318000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
318000-318100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
318100-318200,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0
318200-318400,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
318400-318700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
318700-318900,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
318900-319200,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319200-319500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
319500-310300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
310300-319700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
319700-320200,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0
320200-320400,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
320400-321000,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
321000-321200,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2,0,0
321200-321300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
321300-321600,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
321600-322000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
322000-322600,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
322600-323100,0,1,0,0,1,0,0,0,0,0,0,1,2,0,1,0,0
323100-323300,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
323300-324000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0
324000-324000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
324000-324100,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
324100-324300,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
324300-324500,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
324500-320100,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
320100-324800,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
324800-325000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
325000-325100,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
325100-325200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
325200-325900,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
325900-326100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
326100-326200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
326200-326800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
326800-327200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
327200-327600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
327600-328000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
328000-328400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328400-328500,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
328500-328700,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
328700-329200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
329200-330000,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
330000-330100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
330100-330700,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
330700-330900,0,1,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0
330900-330100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
330100-331100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
331100-332200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
332200-333000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
333000-333100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333100-333400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
333400-330200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
330200-333600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
333600-333900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
333900-334000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
334000-334400,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
334400-334900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
334900-335300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
335300-335800,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
335800-336000,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
336000-336200,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0
336200-336800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
336800-337200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
337200-337300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
337300-337500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
337500-337700,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
337700-338100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
338100-338200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
338200-338300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
338300-338700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
338700-330300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
330300-339900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
339900-340300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
340300-341100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341100-342100,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
342100-342500,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
342500-342700,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
342700-343200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
343200-343800,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
343800-344100,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
344100-344400,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
344400-340100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
340100-344900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
344900-345100,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
345100-346000,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
346000-346200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
346200-346500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
346500-346700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
346700-347400,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
347400-347700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
347700-347900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
347900-348100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
348100-348300,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
348300-348800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
348800-350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
350000-350100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
350100-350200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350200-350700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350700-351000,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
351000-351400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
351400-352000,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
352000-352300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
352300-352800,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
352800-353000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
353000-353400,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
353400-354800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
354800-355100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
355100-355500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
355500-355700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
355700-356600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
356600-356800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
356800-357800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
357800-358300,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
358300-358900,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
358900-360200,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
360200-360500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360500-361000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
361000-361100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
361100-361700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
361700-362300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
362300-362800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
362800-362900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
362900-363100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
363100-363200,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
363200-364400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
364400-365100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
365100-365400,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365400-365600,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
365600-366300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
366300-366700,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
366700-367100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
367100-367800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
367800-368200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
368200-368700,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
368700-369000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
369000-369100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
369100-369900,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
369900-370600,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
370600-370700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
370700-372800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
372800-373300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
373300-374100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
374100-374300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
374300-370100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
370100-375600,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
375600-376700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
376700-376900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
376900-370200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370200-378400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
378400-378900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
378900-379500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
379500-379700,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
379700-379800,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
379800-380400,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
380400-381200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
381200-381400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
381400-382300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
382300-382500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
382500-383200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
383200-383700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
383700-384600,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
384600-385900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
385900-386500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
386500-386900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
386900-387100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
387100-388200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
388200-380100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
380100-388400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
388400-388600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
388600-388800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
388800-390200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
390200-390400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390400-390600,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390600-390700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
390700-391700,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
391700-392100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
392100-392700,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
392700-395100,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
395100-396000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
396000-396100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
396100-397600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
397600-398500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
398500-401700,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
401700-405900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
405900-406600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
406600-407300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
407300-407400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
407400-408500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
408500-409800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
409800-410400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
410400-410700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
410700-412400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
412400-415600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
415600-416900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
416900-417100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
417100-418600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
418600-420200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
420200-420100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
420100-420800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
420800-421900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
421900-423300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
423300-424600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
424600-425800,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
425800-426800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
426800-427100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
427100-427800,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
427800-428000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
428000-428600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
428600-431400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
431400-432700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
432700-434400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
434400-437900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
437900-438300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
438300-438700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
438700-441100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
441100-441300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
441300-441800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
441800-444700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
444700-455500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
455500-461500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
461500-463300,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
463300-463900,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
463900-464600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
464600-469200,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
469200-469500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
469500-473800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
473800-476900,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
476900-477200,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
477200-481100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
481100-481500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
481500-484000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
484000-486700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
486700-488700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
488700-493100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
493100-495000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
495000-497500,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
497500-499500,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
499500-500000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500000-500100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
500100-509400,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
509400-510100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
510100-513000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
513000-514000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
514000-518600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
518600-529700,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
529700-535600,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
535600-537700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
537700-541300,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
541300-580600,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
580600-593700,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
593700-595800,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
595800-600000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
