Zone,NE Catchment 2,SW Catchment 4,SW Catchment 2,NE Catchment 3,SW Catchment 5,SW Catchment 7,Upper Lake,Lower Lake,Lower Middle Lake,Upper Middle Lake,NW Catchment,Outlet Catchment,SW Catchment 6,NE Catchment 4,SW Catchment 3,SW Catchment 1,NE Catchment 1
131000-131100,76,18,19,46,50,5,1,1,0,1,82,18,110,69,109,33,54
131100-132400,224,70,40,94,152,9,2,3,0,5,266,61,324,187,351,101,166
132400-132800,64,20,21,38,54,4,0,3,0,1,73,20,108,59,121,37,61
132800-133600,82,21,11,46,49,1,0,1,0,0,87,17,108,58,113,23,66
133600-133700,45,10,1,23,21,3,0,0,0,1,44,12,48,30,41,13,25
133700-134200,149,35,25,73,74,7,3,0,2,3,181,38,195,100,194,53,118
134200-134800,141,46,21,56,103,7,1,2,0,1,180,42,221,120,203,61,121
134800-135000,62,28,22,32,41,2,0,0,0,1,71,10,95,65,103,26,67
135000-135300,93,26,17,54,72,0,0,2,0,0,108,28,162,77,166,44,85
135300-136000,39,22,13,36,43,3,1,0,0,5,81,19,97,42,111,34,43
136000-136100,68,16,12,32,49,3,0,0,0,0,86,21,86,57,102,25,44
136100-136600,42,26,13,28,54,4,2,0,1,0,73,19,107,49,114,31,53
136600-137000,60,8,13,23,47,4,0,0,0,1,72,14,87,41,73,23,43
137000-137300,61,14,19,30,41,3,0,0,0,0,71,16,78,57,104,24,55
137300-137600,84,20,8,32,49,8,0,0,1,0,82,19,94,60,96,20,47
137600-138900,56,16,12,27,54,1,0,0,0,0,78,12,79,44,87,46,54
138900-139500,71,15,8,38,45,2,0,0,0,0,68,18,91,65,103,31,60
139500-139700,95,27,29,46,75,2,1,5,4,6,136,32,166,88,185,48,89
139700-140000,53,12,13,36,51,3,0,0,0,1,72,17,93,51,85,26,54
140000-140100,28,14,6,20,32,1,0,0,0,1,33,7,45,22,51,10,25
140100-140500,121,26,21,65,91,6,1,0,6,4,153,35,173,74,178,43,106
140500-140800,61,16,16,35,48,3,1,0,0,1,74,12,97,47,87,23,57
140800-141300,61,20,13,33,30,1,0,1,0,2,63,13,72,42,88,21,40
141300-142300,129,34,27,67,92,7,1,0,0,2,136,24,142,80,171,45,115
142300-143000,114,32,20,54,84,3,0,3,1,4,130,20,165,83,151,33,88
143000-143500,99,28,15,46,73,4,0,1,1,0,118,34,149,70,170,38,104
143500-144000,62,14,6,24,45,2,0,0,0,0,74,8,92,37,61,16,48
144000-144200,22,10,10,14,25,1,0,0,0,3,28,7,39,10,54,13,19
144200-145100,44,15,10,27,56,1,0,5,1,2,57,20,72,49,66,28,32
145100-145200,101,35,18,61,81,2,0,2,2,0,127,33,149,81,148,39,84
145200-145300,46,17,7,24,37,2,0,0,0,1,67,14,76,36,80,18,42
145300-146300,45,14,7,27,42,1,0,1,0,3,65,24,80,50,65,14,40
146300-146500,28,4,2,10,18,1,0,0,1,0,25,5,31,18,31,6,22
146500-146900,104,26,23,54,72,5,0,1,1,0,109,26,140,61,144,43,93
146900-147600,117,28,13,45,55,2,1,0,3,1,108,18,141,65,136,38,65
147600-148000,57,5,6,20,40,2,0,0,0,0,60,9,79,41,68,10,48
148000-148400,42,15,13,24,40,3,0,1,1,2,49,19,78,26,70,12,42
148400-148500,27,9,4,30,41,1,0,0,1,0,39,8,76,41,69,17,36
148500-148900,94,18,23,34,68,7,2,3,1,1,110,20,126,68,125,37,75
148900-149100,41,15,5,22,27,2,1,1,0,0,53,11,53,27,57,12,46
149100-149700,29,8,12,18,32,3,1,3,1,0,66,11,73,27,59,13,38
149700-150100,50,6,7,24,30,2,0,1,1,1,39,9,70,39,55,13,43
150100-150800,34,10,7,20,23,1,0,1,0,0,41,10,53,30,55,14,34
150800-151200,42,15,9,22,33,2,2,0,1,0,43,13,66,31,72,22,41
151200-151800,84,32,14,45,66,4,0,2,2,1,89,18,144,61,138,32,58
151800-152700,34,12,5,23,35,4,0,1,0,0,47,15,59,33,65,19,39
152700-152800,34,10,3,14,19,0,0,1,0,2,30,4,24,23,26,6,9
152800-153000,54,8,2,23,27,2,0,0,0,0,45,16,61,28,61,8,40
153000-153200,61,12,9,22,43,2,1,2,0,1,79,20,83,43,102,21,50
153200-153700,92,28,15,40,61,2,0,3,0,1,94,16,127,37,135,20,43
153700-153900,38,7,11,17,26,0,0,0,0,4,34,5,65,23,50,15,30
153900-154000,76,17,11,44,53,0,0,0,0,1,97,22,102,52,124,23,49
154000-154800,33,16,3,22,34,2,0,1,1,1,44,8,55,28,58,19,26
154800-154900,46,12,7,16,25,1,0,0,0,0,46,5,53,36,50,16,27
154900-155300,33,10,3,24,31,3,0,1,0,0,45,17,47,34,58,15,23
155300-156000,32,8,10,18,31,1,0,1,0,0,44,12,58,21,54,17,33
156000-156500,40,14,1,26,20,1,0,0,1,0,30,9,55,27,72,14,21
156500-157100,31,13,7,23,25,1,0,0,2,3,34,9,51,28,48,11,33
157100-157400,64,19,15,22,53,3,0,1,2,0,80,19,97,46,88,33,43
157400-157500,45,13,7,14,21,5,0,0,0,0,46,12,65,19,58,15,29
157500-158000,29,11,7,15,27,0,1,1,0,2,41,12,52,21,57,12,32
158000-159000,31,10,9,11,25,0,0,0,0,3,39,12,47,18,49,19,29
159000-159200,76,26,21,36,62,2,1,1,2,1,105,29,136,48,132,25,69
159200-159400,42,8,5,15,20,2,0,0,0,1,33,9,64,24,53,9,30
159400-159600,18,9,3,14,22,4,0,1,0,0,24,10,54,26,43,16,20
159600-160200,75,16,9,28,36,4,1,1,1,0,76,15,104,46,110,31,44
160200-160600,51,14,4,11,22,2,0,0,0,0,30,5,53,20,47,17,17
160600-160900,24,8,7,26,25,4,0,0,0,0,32,8,50,22,49,16,27
160900-161100,35,7,10,23,30,3,0,1,0,0,36,6,48,22,57,12,25
161100-162000,26,12,5,19,20,2,0,0,1,0,33,8,41,17,36,9,15
162000-162200,9,3,2,10,12,0,0,1,1,0,20,2,17,7,31,4,11
162200-162600,89,36,18,45,62,6,1,4,2,3,95,15,156,81,149,29,70
162600-162900,25,10,7,11,14,0,0,0,0,0,32,10,58,26,54,21,25
162900-163100,24,9,11,16,21,2,1,1,0,1,34,8,55,14,67,12,22
163100-163600,30,8,3,20,28,4,0,0,1,0,28,9,47,15,52,10,26
163600-164200,29,8,5,19,22,4,1,0,0,0,27,8,36,18,39,9,17
164200-165000,18,6,2,13,22,2,0,0,0,0,31,8,35,28,48,13,23
165000-165200,25,6,4,11,11,0,0,1,0,0,27,10,42,15,43,13,25
165200-165400,31,11,5,13,10,4,0,0,0,1,30,5,30,15,35,7,32
165400-165500,38,19,7,19,39,2,0,2,1,0,44,8,57,33,59,11,36
165500-165900,35,10,2,15,23,1,0,0,0,2,28,6,41,27,40,13,20
165900-166500,54,19,5,32,31,1,0,0,0,0,57,15,89,31,88,23,51
166500-167000,56,16,9,27,36,2,0,0,1,2,63,14,75,29,87,17,32
167000-167400,47,13,15,20,45,2,0,0,0,1,54,15,84,38,61,18,48
167400-168000,24,9,3,16,21,1,0,0,0,1,27,5,51,18,34,8,26
168000-168100,43,13,6,15,38,2,0,0,0,0,51,19,77,35,67,22,34
168100-168400,24,11,5,16,20,0,0,1,0,0,24,7,37,16,44,9,28
168400-169000,33,5,5,12,18,1,0,0,1,1,28,9,28,11,34,7,27
169000-169400,28,13,2,14,20,1,0,1,0,0,28,3,38,7,41,7,20
169400-169800,15,6,9,15,16,0,0,0,0,0,24,6,30,14,31,8,22
169800-170700,40,4,2,17,18,0,0,0,0,0,27,4,35,13,39,4,12
170700-171000,17,7,6,7,16,1,0,0,0,1,23,3,37,20,35,10,29
171000-171200,9,2,3,5,8,0,1,0,1,0,15,2,14,1,20,3,3
171200-171300,22,8,5,14,20,2,0,1,0,1,35,8,34,12,39,13,13
171300-171800,60,23,12,33,52,2,1,1,1,0,76,17,94,41,119,27,60
171800-171900,16,2,3,11,5,1,0,0,0,0,13,5,18,10,17,6,9
171900-172200,46,13,5,14,30,1,0,0,1,1,39,6,72,19,63,26,25
172200-172800,20,8,1,15,13,5,0,0,0,0,15,4,31,9,33,8,14
172800-173100,29,6,2,6,19,1,0,1,0,0,29,6,22,16,30,9,16
173100-173700,45,12,7,32,38,2,0,0,0,0,53,15,74,30,53,11,42
173700-173800,48,10,2,25,31,4,0,1,0,0,28,13,68,27,54,9,28
173800-174700,22,7,5,10,16,0,0,0,0,0,25,4,41,7,36,9,14
174700-175000,34,19,8,17,31,1,0,1,0,0,33,14,70,22,65,16,26
175000-175500,30,12,1,7,16,0,0,0,0,0,18,3,32,16,26,4,16
